Date,Platja,Municipi o comarca,Sexe,Age,Nationality or undocumented,Baywatch (Surveillance),Flag,Morts,Extra info
02/08/2023,Platja de Gavà ,Garraf,Home,50,desconeguda,Desconegut,Groga,1,02/08/2023: Platja de Gavà (Garraf). Home 45-50 anys. Trobat inconscient surant damunt taula de paddle surf. Bandera groga
02/08/2023,Platja Castelló Empúries (Alt Empordà),Alt Empordà,Dona,9,desconeguda,Sense servei de vigilància,No,1,"02/08/2023: Platja Castelló Empúries (Alt Empordà). Nena de 9 anys, ingressada dia 29 de juliol, mor a Hospital Trueta de Girona. Sense servei de vigilància"
11/08/2023,Desembocadura riu Besòs ,Barcelonès,Home,72,espanyola,Desconegut,Desconeguda,1,11/08/2023: Desembocadura riu Besòs (Barcelonès). Home de 72 anys i de nacionalitat espanyola que s’estava banyant amb uns companys i no ha pogut tornar a l’embarcació en la que anava.
15/08/2023,Platja de la Roca Grossa (Sant Pol de Mar ),Maresme,Home,27,colombiana,No havia començat,Desconeguda,1,"15/08/2023: Platja de la Roca Grossa, Sant Pol de Mar (Maresme) Home de 27 anys de nacionalitat colombiana. fora de servei de vigilància"
21/08/2023,Platja de l’Alguer (l’Ametlla de Mar),Baix Ebre,Home,83,espanyola,Servei de vigilància finalitzat,Desconeguda,1,21/08/2023: Platja de l’Alguer (l’Ametlla de Mar) Home 83 anys (no confirmat per mossos) de nacionalitat espanyola. Fora horari vigilància
23/08/2023,Platja La Pineda (Vila-Seca),Tarragonès,Home,70,espanyola,Desconegut,Verda,1,"23/08/2023: Platja La Pineda (Vila-Seca) Home de 70 anys de nacionalitat espanyola. Desmaiat a l’aigua, l’han tret de l’aigua i ha mort. Bandera verda"
04/09/2023,Platja de Castell-Platja d’Aro (Castell-Platja d’Aro),Baix Empordà,Home,28,marroquina,Desconegut,Desconeguda,1,04/09/2023: Platja de Castell-Platja d’Aro (Castell-Platja d’Aro) Home de 28 anys de nacionalitat marroquina. Hi havia mala mar
07/09/2023,Platja de Cavaió (Canet de Mar),Canet de Mar,Dona,50,Indocumentat/da,Desconegut,Verda,1,07/09/2023: Platja de Cavaió (Canet de Mar) Dona d’uns 50 anys indocumentada morta malgrat maniobres de reanimació. Bandera verda
19/06/2022,Platja el Rastrell (Roses),Alt Empordà,Home,60,desconeguda,Sense servei de vigilància,No,1,19/06/2022: Platja el Rastrell. Roses (Alt Empordà) Home d’uns 60 anys. Sense informació sobre la nacionalitat. Platja no vigilada
23/06/2022,Platja del Cortal de la Devesa (Sant Pere Pescador),Alt Empordà,Home,74,alemanya,Sí,Groga,1,23/06/2022: Platja del Cortal de la Devesa a Sant Pere Pescador (Alt Empordà). Home de 74 anys i nacionalitat alemanya. Platja vigilada i amb bandera groga
24/06/2022,Cala canyelles de Lloret de Mar (La Selva,Alt Empordà,Home,60,espanyola,Sí,Groga,1,24/06/2022: zona cala canyelles de Lloret de Mar (La Selva). Home d’uns 60 anys i nacionalitat espanyola. Platges de la zona vigilades i amb bandera groga per mala mar
24/06/2022,Cala canyelles de Lloret de Mar (La Selva,Alt Empordà,Dona,50,espanyola,Sí,Groga,1,24/06/2022: zona cala canyelles de Lloret de Mar (La Selva). Dona d’uns 50 anys i nacionalitat espanyola. Platges zona vigilades i amb bandera groga per mala mar.
30/06/2022,Platja Nova de Roses (Roses),Alt Empordà,Dona,78,francesa,Sí,Verda,1,30/06/2022: Platja Nova de Roses (Alt Empordà). Dona francesa de 78 anys ofegada. Platja vigilada i amb bandera verda.
04/07/2022,Platja de Gavà (Baix Llobregat ,Baix Llobregat (Baix Llobregat,Dona,70,espanyola,Sí,Verda,1,04/07/2022: Platja de Gavà (Baix Llobregat (Baix Llobregat). Dona espanyola de 70 anys ofegada. Platja vigilada i amb bandera verda.
15/07/2022,Platja d’Empuriabrava (Alt Empordà),Alt Empordà,Home,75,desconeguda,Sí,Verda,1,15/07/2022: Platja d’Empuriabrava (Alt Empordà). Home d’uns 75 anys indocumentat. Platja vigilada i bandera verda
17/07/2022,Platja Cristall  (Mont-roig del Camp),Baix Camp,Home,73,francesa,Sí,Verda,1,17/07/2022: Platja Cristall Mont-roig del Camp. Home francès de 73 anys. Platja vigilada i bandera verda
